Rnd,Pick,Team,Player,First Year,Age Draft,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,DYAR,YAR,DVOA,VOA,EYds,DPI Pens,DPI Yds,Rec Pts First Season,Rec Pts/G First Season,Rec Pts Second Season,Rec Pts/G Second Season
2,36,SFO,D.Samuel,2019,23,15.0,11.0,81.0,57.0,70.4,802.0,14.1,3.0,32.0,42.0,9.9,3.8,53.5,121.0,114.0,7.3,6.1,673.0,0.0,0.0,98.2,6.546666666666668,,
2,51,TEN,A.Brown,2019,22,16.0,11.0,84.0,52.0,61.9,1051.0,20.2,8.0,39.0,91.0,12.5,3.3,65.7,251.0,253.0,26.2,26.4,897.0,0.0,0.0,153.1,9.56875,,
2,56,KAN,M.Hardman,2019,21,16.0,5.0,41.0,26.0,63.4,538.0,20.7,6.0,18.0,83.0,13.1,1.6,33.6,181.0,177.0,44.1,42.6,528.0,2.0,28.0,89.8,5.6125,,
2,57,PHI,J.Arcega-Whiteside,2019,22,16.0,5.0,22.0,10.0,45.5,169.0,16.9,1.0,7.0,30.0,7.7,0.6,10.6,1.0,5.0,-12.3,-9.3,130.0,0.0,0.0,22.9,1.43125,,
2,59,IND,P.Campbell,2019,22,7.0,3.0,24.0,18.0,75.0,127.0,7.1,1.0,6.0,27.0,5.3,2.6,18.1,-104.0,-88.0,-73.4,-64.4,-14.0,0.0,0.0,18.7,2.6714285714285717,,
2,62,ARI,A.Isabella,2019,22,15.0,1.0,13.0,9.0,69.2,189.0,21.0,1.0,4.0,88.0,14.5,0.6,12.6,44.0,41.0,33.4,29.9,144.0,0.0,0.0,24.9,1.66,,
2,64,SEA,D.Metcalf,2019,21,16.0,15.0,100.0,58.0,58.0,900.0,15.5,7.0,39.0,54.0,9.0,3.6,56.3,105.0,85.0,0.6,-2.0,801.0,1.0,4.0,132.0,8.25,,
3,66,PIT,D.Johnson,2019,23,16.0,12.0,92.0,59.0,64.1,680.0,11.5,5.0,31.0,45.0,7.4,3.7,42.5,26.0,7.0,-8.9,-11.6,601.0,2.0,43.0,98.0,6.125,,
3,76,WAS,T.McLaurin,2019,23,14.0,14.0,93.0,58.0,62.4,919.0,15.8,7.0,43.0,75.0,9.9,4.1,65.6,237.0,244.0,18.9,19.8,961.0,3.0,49.0,133.9,9.564285714285717,,
3,93,BAL,M.Boykin,2019,22,16.0,11.0,22.0,13.0,59.1,198.0,15.2,3.0,10.0,50.0,9.0,0.8,12.4,50.0,59.0,16.2,21.3,217.0,0.0,0.0,37.8,2.3625,,
